번호,충전소명,충전소ID,충전기ID,충전기타입,소재지 도로명 주소,위도,경도,이용가능시간,기관ID,운영기관명,관리업체 전화번호,충전기상태,상태갱신일시,충전기용량,지역코드,주차료무료 여부,충전소 안내
4869,민속마을쌍용아파트8,EV000983,1,완속,"경기도 용인시 기흥구 사은로126번길 10 (보라동, 민속마을 쌍용아파트)",37.25372757,127.1164289,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210124231907,,41,무료,입주민만 사용가능 거주자외 출입제한
4870,민속마을쌍용아파트9,EV000984,1,완속,"경기도 용인시 기흥구 사은로126번길 10 (보라동, 민속마을 쌍용아파트)",37.25430563,127.1173034,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210124075607,,41,무료,입주민만 사용가능 거주자 외 출입제한
4871,안기동 행정복지센터,EV000985,1,완속,경상북도 안동시 제비원로 355 (안기동),36.58293159,128.7143495,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210125051507,,47,무료,
4872,진산마을삼성래미안7차아파트2,EV000986,1,완속,"경기도 용인시 수지구 진산로66번길 27 (풍덕천동, 진산마을삼성래미안7차아파트)",37.31507769,127.0983269,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210124235607,,41,무료,입주민만 사용가능 거주자외 출입제한
4873,진산마을삼성래미안7차아파트3,EV000987,1,완속,"경기도 용인시 수지구 진산로66번길 27 (풍덕천동, 진산마을삼성래미안7차아파트)",37.31590675,127.0982039,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210124174607,,41,무료,입주민만 사용가능 거주자 외 출입제한
4874,진산마을삼성래미안7차아파트4,EV000988,1,완속,"경기도 용인시 수지구 진산로66번길 27 (풍덕천동, 진산마을삼성래미안7차아파트)",37.31560272,127.0953606,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210125101107,,41,무료,입주민만 사용가능 거주자외 출입제한
4875,진산마을삼성래미안7차아파트5,EV000989,1,완속,"경기도 용인시 수지구 진산로66번길 27 (풍덕천동, 진산마을삼성래미안7차아파트)",37.31519684,127.0958678,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210125062005,,41,무료,입주민만 사용가능 거주자 외 출입제한
4876,진산마을삼성래미안7차아파트1,EV000990,1,완속,"경기도 용인시 수지구 진산로66번길 27 (풍덕천동, 진산마을삼성래미안7차아파트)",37.31372597,127.0985282,"24시간 이용가능,입주민만 사용가능 거주자 외 출입제",EV,에버온,1661-7766,사용가능,20210125075306,,41,무료,입주민만 사용가능 거주자외 출입제한
4877,세종시 호려울마을1단지 2,EV000991,1,완속,"세종특별자치시 남세종로 503 (보람동, 호려울마을1단지)",36.47460424,127.2864357,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210123215608,,36,무료,입주민만 사용가능 거주자외 출입제한
4878,세종시 호려울마을1단지 3,EV000992,1,완속,"세종특별자치시 남세종로 503 (보람동, 호려울마을1단지)",36.47410469,127.2843027,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210124215907,,36,무료,입주민만 사용가능 거주자외 출입제한
4879,세종시 호려울마을1단지 4,EV000993,1,완속,"세종특별자치시 남세종로 503 (보람동, 호려울마을1단지)",36.47412465,127.2853795,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210125055107,,36,무료,입주민만 사용가능 거주자외 출입제한
4880,세종시 호려울마을1단지 5,EV000994,1,완속,"세종특별자치시 남세종로 503 (보람동, 호려울마을1단지)",36.47320526,127.2854654,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210101041306,,36,무료,입주민만 사용가능 거주자외 출입제한
4881,장안삼성쉐르빌아파트1,EV000995,1,완속,"서울특별시 동대문구 장한로 119 (장안동, 장안삼성쉐르빌)",37.57144898,127.0702142,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210118040307,,11,무료,입주민만 사용가능 거주자외 출입제한
4882,장안삼성쉐르빌아파트2,EV000996,1,완속,"서울특별시 동대문구 장한로 119 (장안동, 장안삼성쉐르빌)",37.57152659,127.0700128,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210110040005,,11,무료,입주민만 사용가능 거주자외 출입제한
4883,평촌 이편한세상아파트,EV000997,1,완속,"경기도 안양시 동안구 흥안대로456번길 17 (평촌동, 평촌 이편한세상)",37.39528087,126.9774475,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210122232008,,41,무료,입주민만 사용가능 거주자외 출입제한
4884,위브호수마을1단지1,EV000998,1,완속,"경기도 의왕시 평의길 48 (포일동, 위브호수마을1단지)",37.39075779,126.9776747,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210124200108,,41,무료,입주민만 사용가능 거주자 외 출입제한
4885,위브호수마을1단지2,EV000999,1,완속,"경기도 의왕시 평의길 48 (포일동, 위브호수마을1단지)",37.39073531,126.9779231,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210122033408,,41,무료,입주민만 사용가능 거주자외 출입제한
4886,서구동행정복지센터,EV001000,1,완속,경상북도 안동시 안기천로 78 (당북동),36.56433965,128.7174859,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210124232607,,47,무료,
4887,강남동행정복지센터,EV001001,1,완속,경상북도 안동시 강남5길 185 (정하동),36.54868473,128.7271185,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210123231408,,47,무료,
4888,평화동 행정복지센터,EV001002,1,완속,경상북도 안동시 평화3길 5 (평화동),36.56912737,128.7131283,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210124063106,,47,무료,
4889,중구동 행정복지센터,EV001003,1,완속,경상북도 안동시 서동문로 238 (법흥동),36.56474916,128.737721,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210120155006,,47,무료,
4890,명륜동행정복지센터,EV001004,1,완속,경상북도 안동시 정백이골길 6 (안막동),36.58231005,128.7348836,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210125024506,,47,무료,
4891,양남면사무소,EV001006,1,완속,경상북도 경주시 양남면 다래길 8,35.67752747,129.460011,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210120180807,,47,무료,
4892,감포읍 사무소,EV001007,1,완속,경상북도 경주시 감포읍 감포로8길 14-8,35.80704257,129.5016872,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210119121107,,47,무료,
4893,양북면사무소,EV001008,1,완속,경상북도 경주시 양북면 어일중앙길 24,35.79130535,129.4432952,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210122102911,,47,무료,
4894,선도동주민센터,EV001009,1,완속,경상북도 경주시 태종로 416 (충효동),35.84361729,129.1748515,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210125042107,,47,무료,
4895,황오동 주민센터,EV001010,1,완속,경상북도 경주시 북성로 130 (성동동),35.84692675,129.2160182,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210124123207,,47,무료,
4896,산내면사무소,EV001011,1,완속,경상북도 경주시 산내면 의곡2길 5,35.75766171,129.0472754,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210115125306,,47,무료,
4897,중부동 주민센터,EV001012,1,완속,경상북도 경주시 원효로 50 (노서동),35.84202444,129.2062629,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210124203307,,47,무료,
4898,성건동주민센터,EV001013,1,완속,경상북도 경주시 금성로 370 (성건동),35.85080584,129.2073518,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용중,20210125085407,,47,무료,
4899,경주시 동천동주민센터,EV001014,1,완속,경상북도 경주시 대안길 53 (동천동),35.8546117,129.2226029,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용중,20210125084707,,47,무료,
4900,외동읍 사무소,EV001015,1,완속,경상북도 경주시 외동읍 읍청사로 25,35.71758513,129.327148,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210121164407,,47,무료,
4901,승주읍 사무소,EV001016,1,완속,전라남도 순천시 승주읍 승주로 731,35.01451741,127.389529,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210119164607,,46,무료,
4902,가좌4동 행정복지센터,EV001018,1,완속,인천광역시 서구 장고개로280번길 14 (가좌동),37.48739725,126.6836153,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210110191608,,28,무료,
4903,검단2동주민센터,EV001019,1,완속,인천광역시 서구 검단로 814 (불로동),37.61708977,126.6889473,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210124211307,,28,무료,
4904,부평구 보건소,EV001021,1,완속,인천광역시 부평구 부흥로 291 (부평동),37.49883371,126.7242468,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210125094807,,28,무료,
4905,계산4동 행정복지센터,EV001022,1,완속,인천광역시 계양구 용종로 12-8 (계산동),37.53456723,126.7417066,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210125005608,,28,무료,
4906,계산2동 행정복지센터,EV001023,1,완속,인천광역시 계양구 주부토로 559 (계산동),37.54420989,126.7281398,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210124011808,,28,무료,
4907,둔덕동주민센터,EV001025,1,완속,전라남도 여수시 좌수영로 509 (둔덕동),34.76935432,127.694579,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210124141106,,46,무료,
4908,금광면사무소,EV001027,1,완속,경기도 안성시 금광면 금광오산로 228,36.99723107,127.3175329,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210123151607,,41,무료,
4909,가흥2동 사무소,EV001032,1,완속,경상북도 영주시 가흥로 357 (가흥동),36.82941373,128.6117074,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210120210908,,47,무료,
4910,안정면 사무소,EV001033,1,완속,경상북도 영주시 안정면 신재로 537,36.84575991,128.5566743,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210123181407,,47,무료,
4911,휴천3동 주민센터,EV001034,1,완속,경상북도 영주시 구성로273번길 30 (휴천동),36.81778541,128.6258616,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210124220608,,47,무료,
4912,휴천1동 주민센터,EV001035,1,완속,경상북도 영주시 남간로 18 (휴천동),36.81851197,128.6299159,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210124023107,,47,무료,
4913,의령칠곡면사무소,EV001036,1,완속,경상남도 의령군 칠곡면 칠곡로 33,35.34143746,128.1926274,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210119195707,,48,무료,
4914,산본2동 주민센터,EV001037,1,완속,경기도 군포시 고산로 663 (산본동),37.37002079,126.9327105,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210121125306,,41,무료,
4915,오금동 주민센터,EV001038,1,완속,경기도 군포시 고산로 406 (금정동),37.3510325,126.9295356,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210124212407,,41,무료,
4916,은행동행정복지센터,EV001039,1,완속,경기도 시흥시 수인로3247번길 25 (은행동),37.43644554,126.7979851,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210123125006,,41,무료,
4917,매화동주민센터,EV001040,1,완속,경기도 시흥시 매화로 22 (매화동),37.41801032,126.8153455,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210123123806,,41,무료,
4918,신현동주민센터,EV001041,1,완속,경기도 시흥시 신현로 46 (포동),37.40618021,126.7846119,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210123073208,,41,무료,
4919,월곶동 주민센터,EV001042,1,완속,경기도 시흥시 월곶중앙로 54 (월곶동),37.38871058,126.7395067,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210125100021,,41,무료,
4920,정왕4동 주민센터,EV001043,1,완속,경기도 시흥시 함송로29번길 23 (정왕동),37.36550207,126.7322538,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210125005408,,41,무료,
4921,지산1동주민센터,EV001044,1,완속,광주광역시 동구 지산로 57 (지산동),35.14900627,126.9327191,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210124184107,,29,무료,
4922,동탄1동 주민센터,EV001045,1,완속,경기도 화성시 동탄반석로 195 (반송동),37.20645799,127.0719248,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210118143507,,41,무료,
4923,초평동 행정복지센터,EV001046,1,완속,경기도 오산시 발안로 1308-9 (벌음동),37.13984156,127.040658,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210120181808,,41,무료,
4924,남산면사무소,EV001047,1,완속,경상북도 경산시 남산면 하남로 323,35.79335984,128.8373365,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210120201308,,47,무료,
4925,하양읍사무소,EV001048,1,완속,경상북도 경산시 하양읍 문화로 36,35.91237194,128.8123884,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210124203807,,47,무료,
4926,용성면사무소,EV001049,1,완속,경상북도 경산시 용성면 원효로 1423,35.79352131,128.8758876,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210110180506,,47,무료,
4927,진량읍사무소,EV001050,1,완속,경상북도 경산시 진량읍 다문로 50,35.8739268,128.8162242,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210124142407,,47,무료,
4928,와촌면사무소,EV001051,1,완속,경상북도 경산시 와촌면 금송로 416,35.94632991,128.8365151,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용중,20210125090408,,47,무료,
4929,남천면사무소,EV001052,1,완속,경상북도 경산시 남천면 남천로 465,35.76665159,128.726862,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210122185107,,47,무료,
4930,신흥동행정복지센터,EV001054,1,완속,경상북도 상주시 상산로 141 (신봉동),36.40361838,128.1599638,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210121201707,,47,무료,
4931,청리면사무소,EV001055,1,완속,경상북도 상주시 청리면 원장1길 12,36.33874963,128.1304964,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210121190708,,47,무료,
4932,동성동행정복지센터,EV001057,1,완속,경상북도 상주시 성동새싹길 42 (성동동),36.41530936,128.1697659,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20201222052205,,47,무료,
4933,석수1동 행정복지센터,EV001059,1,완속,경기도 안양시 만안구 경수대로 1252 (석수동),37.41962364,126.9106237,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210114155207,,41,무료,
4934,안양9동 행정복지센터,EV001060,1,완속,경기도 안양시 만안구 병목안로142번길 12-9 (안양동),37.39147048,126.9084212,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210118150406,,41,무료,
4935,안양4동 행정복지센터,EV001061,1,완속,경기도 안양시 만안구 냉천로193번길 34 (안양동),37.39654477,126.9178744,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210125010508,,41,무료,
4936,상평동행정복지센터,EV001062,1,완속,경상남도 진주시 솔밭로80번길 18 (상평동),35.17609675,128.1090774,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210119161308,,48,무료,
4937,초장동행정복지센터,EV001064,1,완속,경상남도 진주시 초장로14번길 14 (초전동),35.20458106,128.1146081,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210125054407,,48,무료,
4938,단대동 주민센터,EV001065,1,완속,경기도 성남시 수정구 희망로506번길 21 (단대동),37.44939696,127.1553663,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210124204807,,41,무료,
4939,도촌동 주민센터,EV001066,1,완속,경기도 성남시 중원구 도촌북로 28 (도촌동),37.41649524,127.1527859,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210119203908,,41,무료,
4940,구미동 주민센터,EV001067,1,완속,경기도 성남시 분당구 구미로 130 (구미동),37.34022805,127.1226133,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210119183208,,41,무료,
4941,하대원동 주민센터,EV001068,1,완속,경기도 성남시 중원구 둔촌대로 252 (하대원동),37.42828507,127.1463609,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210121150807,,41,무료,
4942,일산2동행정복지센터,EV001069,1,완속,경기도 고양시 일산서구 고봉로 283 (일산동),37.68462149,126.7771795,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210116011108,,41,무료,
4943,백석1동행정복지센터,EV001070,1,완속,경기도 고양시 일산동구 일산로 145 (백석동),37.64963017,126.7924911,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210122054006,,41,무료,
4944,관교동 행정복지센터,EV001072,1,완속,인천광역시 미추홀구 인하로 452 (관교동),37.44417986,126.696811,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210121175008,,28,무료,
4945,거제상상속의 집,EV001073,1,완속,경상남도 거제시 일운면 거제대로 2752,34.84775687,128.7101834,24시간 이용가능,EV,에버온,1661-7766,사용가능,20210125023507,,48,무료,
4946,동명동주민센터,EV001074,1,완속,광주광역시 동구 동명로26번길 13 (동명동),35.15117953,126.9251624,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210124160208,,29,무료,
4947,서남동주민센터,EV001075,1,완속,광주광역시 동구 서남로 14 (서석동),35.14495168,126.9231621,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210122182907,,29,무료,
4948,지산2동주민센터,EV001076,1,완속,광주광역시 동구 지호로 51 (지산동),35.14797609,126.9344933,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210119114507,,29,무료,
4949,충장동주민센터,EV001077,1,완속,광주광역시 동구 충장로58번길 16 (충장로4가),35.14918467,126.9128028,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210124135507,,29,무료,
4950,광주시 학동 주민센터,EV001078,1,완속,광주광역시 동구 천변우로 559-7 (학동),35.1344172,126.9241946,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210125000019,,29,무료,
4951,성남위례동주민센터,EV001079,1,완속,경기도 성남시 수정구 위례동로 91 (창곡동),37.46822478,127.1495632,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210125051407,,41,무료,
4952,세종 첫마을아파트1단지 1,EV001080,1,완속,"세종특별자치시 노을3로 14 (한솔동, 첫마을1단지)",36.48034738,127.2575495,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210123061507,,36,무료,입주민만 사용가능 거주자외 출입제한
4953,세종 첫마을아파트1단지 2,EV001081,1,완속,"세종특별자치시 노을3로 14 (한솔동, 첫마을1단지)",36.48114901,127.2577363,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210124014406,,36,무료,입주민만 사용가능 거주자외 출입제한
4954,별량면사무소,EV001082,1,완속,전라남도 순천시 별량면 봉림리 178-3 별량면사무소,34.87429821,127.4519934,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210125000019,,46,무료,
4955,아산권곡청솔아파트1,EV001084,1,완속,"충청남도 아산시 문화로 257-17 (권곡동, 청솔아파트)",36.79136813,127.015355,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210124024508,,44,무료,입주민만 사용가능 거주자외 출입제한
4956,아산권곡청솔아파트2,EV001085,1,완속,"충청남도 아산시 문화로 257-17 (권곡동, 청솔아파트)",36.7909987,127.0151169,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210112123406,,44,무료,입주민만 사용가능 거주자외 출입제한
4957,당진신평LIGA아파트,EV001086,1,완속,충청남도 당진시 신평면 신평로 792 (당진신평 LIG 리가아파트),36.8829167,126.7778414,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210107223008,,44,무료,입주민만 사용가능 거주자외 출입제한
4958,아산온천미소지움아파트1,EV001087,1,완속,"충청남도 아산시 아산로 116-20 (온천동, 아산온천 미소지움 아파트)",36.79134202,126.9961402,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210122183407,,44,무료,입주민만 사용가능 거주자외 출입제한
4959,아산온천미소지움아파트2,EV001088,1,완속,"충청남도 아산시 아산로 116-20 (온천동, 아산온천 미소지움 아파트)",36.7910086,126.9957705,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210124050706,,44,무료,입주민만 사용가능 거주자외 출입제한
4960,봉현면 사무소,EV001090,1,완속,경상북도 영주시 봉현면 오현로 27,36.86123339,128.5248831,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210124162807,,47,무료,
4961,장수면사무소,EV001091,1,완속,경상북도 영주시 장수면 장수로 50,36.77483342,128.5787056,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용중,20210125084307,,47,무료,
4962,의령군보건소,EV001092,1,완속,경상남도 의령군 의령읍 의병로8길 16,35.31781892,128.2547695,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210125023906,,48,무료,
4963,평택우미린센트럴파크 1,EV001093,1,완속,"경기도 평택시 비전3로 76 (비전동, 우미린 센트럴파크)",37.00516803,127.1085459,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210118140807,,41,무료,입주민만 사용가능 거주자 외 출입제한
4964,평택우미린센트럴파크 2,EV001094,1,완속,"경기도 평택시 비전3로 76 (비전동, 우미린 센트럴파크)",37.0052032,127.1094987,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210120185308,,41,무료,입주민만 사용가능 거주자외 출입제한
4965,평택우미린센트럴파크 3,EV001095,1,완속,"경기도 평택시 비전3로 76 (비전동, 우미린 센트럴파크)",37.00468008,127.110026,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210124203907,,41,무료,입주민만 사용가능 거주자외 출입제한
4966,우물골두산위브7단지1,EV001096,1,완속,"서울특별시 은평구 진관2로 57-37 (진관동, 은평뉴타운우물골)",37.63544067,126.9264378,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210121045908,,11,무료,입주민만 사용가능 거주자 외 출입제한
4967,우물골두산위브7단지2,EV001097,1,완속,"서울특별시 은평구 진관2로 57-37 (진관동, 은평뉴타운우물골)",37.63741524,126.9287358,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210124190607,,11,무료,입주민만 사용가능 거주자 외 출입제한
4968,청라1동 행정복지센터,EV001098,1,완속,인천광역시 서구 청라라임로 58 (청라동),37.53266259,126.6537321,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210124205408,,28,무료,
4969,과림동주민센터,EV001100,1,완속,경기도 시흥시 금오로 383 (과림동),37.43687487,126.8328901,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210116005309,,41,무료,
4970,경북영주2동주민센터,EV001101,1,완속,경상북도 영주시 선비로181번길 10 (가흥동),36.82076602,128.6187253,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210125000019,,47,무료,
4971,우물골두산위브7단지3,EV001102,1,완속,"서울특별시 은평구 진관2로 57-37 (진관동, 은평뉴타운우물골)",37.63654146,126.9290369,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210125031906,,11,무료,입주민만 사용가능 거주자외 출입제한
4972,야탑1동주민센터,EV001103,1,완속,경기도 성남시 분당구 장미로86번길 18 (야탑동),37.41204957,127.1302352,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210125102907,,41,무료,
4973,성사2동 행정복지센터,EV001105,1,완속,경기도 고양시 덕양구 호국로742번길 6-6 (성사동),37.6529487,126.8329148,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용중,20210125085907,,41,무료,
4974,평거동행정복지센터,EV001106,1,완속,경상남도 진주시 평거로40번길 5 (평거동),35.17381379,128.0653978,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210124061008,,48,무료,
4975,가정3동 행정복지센터,EV001107,1,완속,인천광역시 서구 서달로179번길 12-16 (가정동),37.51554696,126.6778363,평일 09시~18시 이용가능,EV,에버온,1661-7766,사용가능,20210118211008,,28,무료,
4976,한강로벽산메가트리움1,EV001108,1,완속,"서울특별시 용산구 한강대로43길 8 (한강로2가, 벽산메가트리움)",37.53186349,126.9696621,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210125011108,,11,무료,입주민만 사용가능 거주자 외 출입제한
4977,한강로벽산메가트리움2,EV001109,1,완속,"서울특별시 용산구 한강대로43길 8 (한강로2가, 벽산메가트리움)",37.5324582,126.9698599,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210125052407,,11,무료,입주민만 사용가능 거주자외 출입제한
4978,운중동푸르지오하임,EV001110,1,완속,"경기도 성남시 분당구 하오개로 377 (운중동, 운중동 푸르지오하임)",37.39291329,127.0611649,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210124215608,,41,무료,입주민만 사용가능 거주자 외 출입제한
4979,수원아이파크시티7단지1,EV001111,1,완속,"경기도 수원시 권선구 덕영대로1190번길 100 (권선동, 수원아이파크시티7단지)",37.24790847,127.0190708,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210117034706,,41,무료,입주민만 사용가능 거주자 외 출입제한
4980,수원아이파크시티7단지2,EV001112,1,완속,"경기도 수원시 권선구 덕영대로1190번길 100 (권선동, 수원아이파크시티7단지)",37.24670978,127.0208626,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210123032208,,41,무료,입주민만 사용가능 거주자외 출입제한
4981,수원아이파크시티7단지3,EV001113,1,완속,"경기도 수원시 권선구 덕영대로1190번길 100 (권선동, 수원아이파크시티7단지)",37.24672794,127.0200737,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210125053107,,41,무료,입주민만 사용가능 거주자외 출입제한
4982,용인 신봉마을동일하이빌3단지아파트2,EV001114,1,완속,"경기도 용인시 수지구 신봉3로 25 (신봉동, 신봉마을동일하이빌3단지)",37.32667412,127.0656272,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210118070007,,41,무료,입주민만 사용가능 거주자 외 출입제한
4983,용인 신봉마을동일하이빌3단지아파트1,EV001115,1,완속,"경기도 용인시 수지구 신봉3로 25 (신봉동, 신봉마을동일하이빌3단지)",37.32621837,127.06693,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,에버온,1661-7766,사용가능,20210124124808,,41,무료,입주민만 사용가능 거주자외 출입제한
